headline,clickbait,,,,,,
Gravitas: China moves 100 rocket launchers to India border,0,,,,,,
"Sudan general declares state of emergency, 
dissolves government | World News | WION",0,,,,,,
"India Deploys The Most Lethal Multi-Rocket Launchers At LAC 
Amid Tensions With China | English News",0,,,,,,
Covid cases rising in UK - what happens next? - BBC News,0,,,,,,
"Newspaper Readership Then, Now and in the Future",0,,,,,,
"Pelosi is not just a tyrant, she is a hypocrite: Rep. Massie",0,,,,,,
Kyle Rittenhouse has a message for Biden,0,,,,,,
School shooter in Michigan kills 3 students,0,,,,,,
Minute-By-Minute Breakdown Of Deadly Astroworld Concert,0,,,,,,
Brian Kilmeade: San Francisco's looting 'free for all' is out of control,0,,,,,,
New COVID-19 variant: How dangerous is Omicron? | DW News,0,,,,,,
Rand Paul responds to Anthony Fauci's 'I represent science' declaration,0,,,,,,
Omicron good news,0,,,,,,
Suspect in custody after Michigan high school shooting,0,,,,,,
Vietnam had zero coronavirus deaths in 2020. Here’s why. | CNBC Reports,0,,,,,,
Halloween 2019: News anchors in tears as meteorologist shows up in mystical unicorn costume,0,,,,,,
aj Thackeray On Salman Khan For Supporting Pakistani Artists | Exclusive,0,,,,,,
Two Cops Suspended For Assaulting A Six Year Old Girl - Caught On Camera,0,,,,,,
Frankly Speaking With Raj Thackeray - Part 2 | Arnab Goswami Exclusive Interview,0,,,,,,
Israel Unrest: Hamas launches rocket attack on Tel Aviv,0,,,,,,
Explained: What happened in deadly Beirut explosion,0,,,,,,
Israel Air Raid Siren Sounds During Sky Broadcast,0,,,,,,
Obama's Quick Response To Sarcastic Republican Clappers,0,,,,,,
UK teen suffering seizure saved by gamer in Texas,0,,,,,,
14 CRAZIEST Animal Fights Caught On Camera,1,,,,,,
BIG MISTAKE LION STEAL BABY BEAR - Mother Bear Save Her Baby From Lion,1,,,,,,
10 Unique Animals You Won’t Believe Exist,1,,,,,,
WARNING: DO NOT TRY - Seeing how close I can get to a netron star,1,,,,,,
Who is Funni Gren Man? ,1,,,,,,
Try Guys Bake Mac & Cheese Without A Recipe,0,,,,,,
"Minecraft, But My Friend Is A Bee...",0,,,,,,
"Surprising My Sister With A $2,000,000 HOUSE!!",0,,,,,,
Neighbors in Tennessee city worry as Amazon packages pile up outside home,0,,,,,,
$20 Whole Chicken Vs. $78 Whole Chicken,0,,,,,,
I Trolled Youtubers with a Chapter 3 Live Event!,0,,,,,,
Mysteries in Online Video Games,0,,,,,,
Not Spider-Man.,0,,,,,,
5 YouTubers That BARELY ESCAPED ALIVE!,1,,,,,,
5 SECRETS MrBeast Tried To HIDE From You!,1,,,,,,
DREAM FACE REVEAL,1,,,,,,
"10 Famous Bollywood Actors Who Died Recently - Irrfan Khan, Rishi Kapoor - 2020",1,,,,,,
New List Of 15 Bollywood Actors Who Are Getting Married In 2022,1,,,,,,
ATTENTION : INDIAN real life Fast and Furious Team is here !!!!!!!!,0,,,,,,
35 Times Animals Messed With The Wrong Opponent !,1,,,,,,
10 Most Dangerous Attacks In The Amazon Jungle,1,,,,,,
10 Famous Funny Commercials,0,,,,,,
ROFL! Golden Buzzer Comedian Makes Judges Can't Stop LAUGHING! | Semi Final 5 | BGT 2017,0,,,,,,
गलत दुश्मन से पंगा लेकर बहुत ही बड़ी गलती करदी ! When Animals Messed With Wrong Enemy,1,,,,,,
10 Times People Woke Up At Their Own Funeral! (Part 2),1,,,,,,
HYDRAULIC PRESS VS MODERN AND OLD ITEMS,0,,,,,,
How Many Giant Balloons Stops An Arrow?,0,,,,,,
Omicron Virus Variant | Is it Dangerous? | COVID Mutation | Dhruv Rathee,0,,,,,,
Rallying In Finland 2016 By JPeltsi,1,,,,,,
RANDOM ACTS OF KINDNESS THAT WILL RESTORE YOUR FAITH IN HUMANITY!,1,,,,,,
This Video Will Accurately Guess Your Age...,0,,,,,,
This Laptop Has A Dial And It's AMAZING!!,0,,,,,,
I Will Guess Your Name In One Minute!,1,,,,,,
14 CRAZIEST Animal Fights Caught On Camera,1,,,,,,
High IQ moments in sports,0,,,,,,
20 IMPOSSIBLE MOMENTS IN SPORTS HISTORY,0,,,,,,
MOST BEAUTIFUL AND RESPECT MOMENTS IN SPORTS,0,,,,,,
Greatest World Records in Sport History,0,,,,,,
Most Funny Moments in Sports,0,,,,,,
Memorable Moments in Sports History,0,,,,,,
Rare Moments in Sports That Shocked The World,0,,,,,,
30 Most Impossible Moments In Sport History,1,,,,,,
Try Not To Laugh At These Funny Moments in Sports...,1,,,,,,
"Craziest ""Animal Interference"" Moments in Sports History",0,,,,,,
Impossible Moments in Sports,0,,,,,,
"15 MOST EMBARRASSING CELEBRITY MOMENTS IN HISTORY | Mike Tyson, Jennifer Lawrence, Madonna",0,,,,,,
20 CRAZY AND WEIRD THINGS CAUGHT ON SECURITY & CCTV!,0,,,,,,
20 Celebrities Who Look Totally Different Underneath Makeup,1,,,,,,
Celebrities Who Died Today on 1 December 2021 | Top 10 celebrity died Last Few day,1,,,,,,
Top 10 Biggest Celebrities Who Were Arrested This Year,1,,,,,,
20 MOMENTS YOU WON’T BELIEVE YOUR EYES,0,,,,,,
"How to Survive a Tsunami, According to Science",0,,,,,,
Unbelievable Things Humans Managed To Do,1,,,,,,
10 SCARY Fishing Videos Caught On Camera,1,,,,,,
Top 10 Celebrities Who Are Currently In Jail 2021 - Part 2,1,,,,,,
The Fascinating World of Deep Mountain Lakes,0,,,,,,
If you doubt God's power watch this,1,,,,,,
"SHOCKING Plastic Surgery of Bollywood Actresses BEFORE & AFTER | Shilpa Shetty, Anushka Sharma",1,,,,,,
Real ghost caught on cctv camera ,1,,,,,,
Top 10 Celebrities Who Look Different Without Makeup - Part 4,1,,,,,,
"12 Shocking Shark Attacks Caught On Camera!
",1,,,,,,
Katrina and Vicky Kaushal- wedding and a divorce ,1,,,,,,
10 Most Expensive Things Kim Jong-un Owns - MET Ep 19,1,,,,,,
Who actually killed Tupac,1,,,,,,
"Khaby Lame Lifestyle 2021, Girlfriend, Income, House, Cars, Family, Net Worth,TikTok,Voice&Biography",1,,,,,,
Celebs' Biggest Lies Revealed! | ⭐OSSA,1,,,,,,
Mumbai Monsoon: Truth of 'car sinking' viral video,0,,,,,,
Former detective says he knows who killed Tupac,1,,,,,,
Smart or Cheating?,0,,,,,,
Tupac says who pulled the triggered ,1,,,,,,
Who shot Biggie Smalls? Retired LAPD detective reveals what he knows,1,,,,,,
This is how xxxtentacion passed away (truth comes out) ,1,,,,,,
Top 5 Real Gods CAUGHT ON CCTV CAMERA and Spotted in real life (Part 2),1,,,,,,
20 Kids With Real Superpower You Won't Believe,1,,,,,,
Rare Footage - xxxtentacion face seen at his burial ,1,,,,,,
Heartbreaking Football Moments…,0,,,,,,
How Scientists Can Slow Down Time,0,,,,,,
How Is NASA Contacting Aliens? | Alien Life Documentary | Spark,0,,,,,,
"wow 🤩 MY GIRLFRIEND PRO PLAYER CONQUEROR 🔥 SAMSUNGA3,A5,A6,A7,J2,J5,J7,S5,S6,S7,59,A10,A30,A50,A70",1,,,,,,
NEXT LEVEL MOMENTS IN SPORTS!,1,,,,,,
10 Most Insane Natural Phenomena Caught On Camera,1,,,,,,
Cristiano Ronaldo vs Referees: Crazy Moments!,1,,,,,,
Barcelona want to sign CRISTIANO RONALDO?!,0,,,,,,
"China Reality Check: Xi Jinping's Economic Reforms: Progress, Challenges, and Contradictions",0,,,,,,
Spaghetti O's: How to open a can the epic way!,1,,,,,,
"FIFA 22 | NEW CONFIRMED TRANSFERS & RUMOURS SUMMER 2021😱✅| w/ STERLING, RONALDO & MESSI TOTTENHAM",1,,,,,,
10 RAREST And Most EXPENSIVE Cars Of All Time!,0,,,,,,
World's *RAREST* Things ONLY 1% of Humans CAN DO!,1,,,,,,
Most Dangerous Trees You Should Never Touch,1,,,,,,
10 Rarest Cars From The Future,0,,,,,,
15 Most Amazing Abandoned Vehicles In The World,0,,,,,,
These Are 10 Rarest Animals on this Planet,1,,,,,,
10 Rarest Animals Found On Earth!,1,,,,,,
15 Amazing Hybrid Animals That Actually Exist,1,,,,,,
15 Wild Animals That Have Rarely Ever Been Seen,1,,,,,,
Unusual People Born with The Rarest Skin Color,0,,,,,,
Jet Powered Tesla,0,,,,,,
7 People Who Shocked the World!,0,,,,,,
10 Most Shocking Animal Mutations,1,,,,,,
SHOCKING INDIAN FOOD!!! Did NOT Expect to See This in India!,0,,,,,,
Football Matches That Shocked The World,0,,,,,,
Why You Should Always Wear A Helmet Part-2,0,,,,,,
Unbelievable Things Humans Managed To Do,0,,,,,,
Unusual Kids Born with Unbelievable Medical Conditions,1,,,,,,
Unbelievable Videos I Warned You NOT To Watch,0,,,,,,
Crazy Open Goal Misses l Unbelievable!,1,,,,,,
10 Scientifically Impossible Places That Actually Exist,0,,,,,,
Top 7 Santa Claus Caught On Camera & Spotted In Real Life,1,,,,,,
11 Creepy videos of strange things caught on camera,0,,,,,,
Top 10 Famous Real Life Monsters Caught on Camera,0,,,,,,
Top 10 Times Ghosts Were Actually Caught On Camera,0,,,,,,
10 Giant Creatures Caught on Camera,1,,,,,,
Top 20 UFOs Caught on Camera,0,,,,,,
10 REAL LIFE MERMAIDS Caught On Camera,0,,,,,,
10 REAL ANGELS CAUGHT ON CAMERA & SPOTTED IN REAL LIFE!,0,,,,,,
This Is How Elon Musk Spends His 9128718861111 Crores,0,,,,,,
10 Biggest Snakes Ever Discovered,1,,,,,,
15 Strangest Cars Ever Made,0,,,,,,
15 BIGGEST Military Vehicles Ever Made,0,,,,,,
Biggest Vehicles Ever Made,0,,,,,,
Ugliest Design Mistakes Ever Made,0,,,,,,
Most Expensive Luxury Items!,0,,,,,,
15 Most Expensive Things In The World,0,,,,,,
10 Most Dangerous Bugs in the World,0,,,,,,
"If You See This, Run Away And Call For Help",1,,,,,,
How To Cook Like a Chef || Recipes and Food Hacks,0,,,,,,
3 SIMPLE INVENTIONS That Can Be Made At Home,1,,,,,,
Build The Greatness Kings Underground Temple & Swimming Pool And Feed the Crocodile,0,,,,,,
10 Biggest Snakes Ever Discovered,1,,,,,,
2022 🤫 ONLY 1 SETTING 🔥 How to viral Instagram reels 2021 | Instagram Reels Video viral kaise kare,1,,,,,,
दुनिया के 5 सबसे LUCKY इंसान। Top 5 Lucky People in the World.,1,,,,,,
दुनिया के 5 सबसे महंगे हादसे. world's 5 most expensive incidents.,1,,,,,,
wild elephant chasing vehicles at the Katharagama (Sri lanka),0,,,,,,
Amazing up close footage of Lava entering the ocean.,0,,,,,,
"10 Extreme Dangerous Biggest Dump Truck Operator Skills, Amazing Heavy Equipment Machines Driving",1,,,,,,
"If you never saw it before, you wouldn’t believe it was real",0,,,,,,
15 Most Dangerous Trees You Should Never Touch,0,,,,,,
12 Most Mysterious Places Scientists Still Can't Explain,0,,,,,,
"If These Phenomena Weren’t Recorded, No One Would Believe It",0,,,,,,
10 ANIMAL HYBRIDS YOU WON'T BELIEVE EXIST,0,,,,,,
15 Most Amazing Finds Archaeologists Still Can’t Explain,1,,,,,,
Most Mysterious Finds Science Can't Explain !,0,,,,,,
RICH People Who Turned Themselves into PLASTIC!,0,,,,,,
UNBELIEVABLE Body Mods - Guinness World Records,0,,,,,,
CORPSE Found Hidden In Tree Trunk!,0,,,,,,
Unexplained Mysteries That NEED Some Serious Explaining,0,,,,,,
12 Most Incredible Recent Discoveries,0,,,,,,
You Won't believe What People Found on These Beaches,0,,,,,,
15 Abnormally Strange Cats That Actually Exist,1,,,,,,
You Won't Believe Such Large Animals Really Exist,0,,,,,,
10 BIGGEST CATCHES OF ALL TIME,0,,,,,,
10 Sightings of the Megalodon That May Prove It Exists,0,,,,,,
How to Get Unlimited myClub Coins and GP For Free in Pes 2021 Mobile,1,,,,,,
CONAN hits gym with Kevin Hart ,0,,,,,,
Top 20 scariest titok of the year,1,,,,,,
REAL OR FAKE,1,,,,,,
10 megalodon caught on camera and in real life,1,,,,,,
10 times real mermaids were found,1,,,,,,
10 jaw dropping discoveries found frozen in ice,1,,,,,,
Roasted - Snoop Dogg's best comebacks ,0,,,,,,
What if you find dinosaur eggs and hatch it,1,,,,,,
Steve Carell monologue- SNL,0,,,,,,
Best Intro ever - office US,0,,,,,,
Parents react to KSI's new tattoo ,0,,,,,,
The lowest rated movie ever,1,,,,,,
Living dinosaur alive on planet,1,,,,,,
7 Real Transforming Vehicles You Didn't Know Existed ▶ 1,0,,,,,,
If we treated teachers like Pro Athletes - key and peele.,0,,,,,,
"""Shaq Life: Shaq Attends His Daughter's Graduation [CLIP] | TNT"",
  ",0,,,,,,
"Will & Uncle Phil Funny Moments | THE FRESH PRINCE OF BEL-AIR"",
  ",0,,,,,,
"Ricky Gervais Won't Wear a Wig Despite Going Bald"",
   ",0,,,,,,
"ONE GUY, 54 VOICES (With Music!) Famous Singer Impressions (REACTION!!!)"",
  ",0,,,,,,
"Exploring my 14 YEAR OLD Pokemon Emerald Save File! - PokeTips"",
  ",0,,,,,,
"""Gymnastics with Terry Crews | Kevin Hart: What The Fit Episode 9 | Laugh Out Loud Network"",
   ",0,,,,,,
Tion Wayne - Wow [Music Video] | GRM Daily,0,,,,,,
Post Malone - &quot;Wow.&quot; (Official Music Video),0,,,,,,
Post Malone - Wow (Lyrics),0,,,,,,
Top 10 Hardest and Annoying First Bosses in WoW&#39;s History,0,,,,,,
Zara Larsson - WOW (Official Audio),0,,,,,,
Zara Larsson - WOW (Remix - Official Music Video) ft. Sabrina Carpenter,0,,,,,,
9.2 Anduin Frees Arthas Ending Cinematic - Sepulcher of First Ones [WoW: Eternity&#39;s End Lore],0,,,,,,
"Maria Becerra, Becky G - WOW WOW (Official Video)",0,,,,,,
Post Malone - Wow. (Audio),0,,,,,,
Post Malone - &quot;Wow.&quot;,0,,,,,,
Motu Patlu Cartoons In Hindi |  Animated cartoon | Pigeon courier service | Wow Kidz,0,,,,,,
Bryant Myers - WOW (Official Video),0,,,,,,
Jake and Quinn | WOW | Work It,0,,,,,,
I Returned To WoW: Is It Really That Bad?,1,,,,,,
"Maria Becerra, Becky G - WOW WOW (Official Lyric Video)",0,,,,,,
Zara Larsson - WOW (Lyrics),0,,,,,,
ГДЕ ТЕПЕРЬ ИГРАТЬ В WOW?,0,,,,,,
Jay Rock - Wow Freestyle ft. Kendrick Lamar,0,,,,,,
The Game No One Is Talking About (exactly like wow arena),0,,,,,,
Post Malone - &quot;Wow.&quot; Remix feat. Roddy Ricch &amp; Tyga (Official Video),0,,,,,,
Everything WRONG with WoW Raiding | Asmongold Reacts,0,,,,,,
WOW! VIRAL TIKTOK HACKS AND TRICKS FOR YOU!,0,,,,,,
WoW&#39;s HERALDS of the END TIMES - The Dragon Aspects,0,,,,,,
WOW13.09「START SNOW」,0,,,,,,
BTOB - &#39;WOW&#39; Official Music Video,0,,,,,,
A Rogue gets to COMPLETE his GLAIVE SET?! | Daily Classic WoW Highlights #295 |,0,,,,,,
Try Not To Say WOW..(99% Fail),1,,,,,,
WoW is Starting to Show its Age!,0,,,,,,
Anduin Finale Cinematic | Shadowlands Patch 9.2 Eternity&#39;s End,0,,,,,,
Wow ❤️🤣✅🧿,1,,,,,,
